Tempo,Subscribers,Quantidade
7,Sub1,Cinco
3,Sub1,Cinco
2,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
3,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
2,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
3,Sub1,Cinco
2,Sub1,Cinco
3,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
2,Sub1,Cinco
4,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
2,Sub1,Cinco
0,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
4,Sub1,Cinco
2,Sub1,Cinco
0,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
4,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
2,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
4,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
0,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
53,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
1,Sub1,Cinco
3,Sub1,Cinco
3,Sub2,Cinco
3,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
4,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
5,Sub2,Cinco
1,Sub2,Cinco
3,Sub2,Cinco
1,Sub2,Cinco
4,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
2,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
0,Sub2,Cinco
0,Sub2,Cinco
0,Sub2,Cinco
0,Sub2,Cinco
1,Sub2,Cinco
1,Sub2,Cinco
3,Sub3,Cinco
2,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
3,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
3,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
3,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
3,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
4,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
0,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
3,Sub3,Cinco
2,Sub3,Cinco
1,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
0,Sub3,Cinco
1,Sub3,Cinco
2,Sub3,Cinco
3,Sub4,Cinco
2,Sub4,Cinco
2,Sub4,Cinco
2,Sub4,Cinco
3,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
3,Sub4,Cinco
3,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
4,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
4,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
2,Sub4,Cinco
3,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
3,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
4,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
2,Sub4,Cinco
2,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
0,Sub4,Cinco
2,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
0,Sub4,Cinco
0,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
4,Sub4,Cinco
1,Sub4,Cinco
3,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
1,Sub4,Cinco
68,Sub4,Cinco
3,Sub4,Cinco
30,Sub5,Cinco
4,Sub5,Cinco
3,Sub5,Cinco
4,Sub5,Cinco
2,Sub5,Cinco
3,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
3,Sub5,Cinco
3,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
2,Sub5,Cinco
0,Sub5,Cinco
0,Sub5,Cinco
4,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
2,Sub5,Cinco
4,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
3,Sub5,Cinco
2,Sub5,Cinco
7,Sub5,Cinco
1,Sub5,Cinco
3,Sub5,Cinco
2,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
3,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
3,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
3,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
0,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
2,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
1,Sub5,Cinco
3,Sub5,Cinco
3,Sub5,Cinco
0,Sub5,Cinco
